,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,PER_EPS,PBR_BPS,Return_rate(PER),Return_rate(PBR),ROE_20,ROE_19,roe_past_2,roe_past_3
81,046890,서울반도체,반도체 제조업,"Display, Chip LED, Lamp",6,8279,14200.0,18377.13,20067.74,29.42,41.32,5.04,5.27,10.1,6.73
82,140860,파크시스템스,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",연구용 및 산업용 원자현미경,6,3867,58000.0,74973.6,49554.04,29.26,-14.56,30.13,21.14,16.78,15.95
83,001630,종근당홀딩스,의약품 제조업,"의약품(항생제,위궤양치료제,장기이식면역억제제,고지혈증치료제(로바이드)) 제조,도매",6,6337,126500.0,162859.22,113000.29,28.74,-10.67,12.01,10.03,6.55,12.48
84,043370,평화정공,자동차 신품 부품 제조업,"자동차용 도어랫치, 도어힌지",6,1224,5830.0,7476.57,11445.99,28.24,96.33,2.46,5.65,8.54,15.06
85,012750,에스원,"경비, 경호 및 탐정업","부가통신 서비스(경비),안전관리용역,CCTV카메라",6,32299,85000.0,108632.88,110080.18,27.8,29.51,11.44,11.32,8.34,12.42
86,083450,GST,특수 목적용 기계 제조업,"GasScrubber,Chiller",6,1887,20250.0,25702.6,14710.47,26.93,-27.36,27.29,19.83,12.42,23.25
87,079430,현대리바트,가구 제조업,"일반목재가구(책상,침실가구),주방가구,목창호,사무용가구,선실가구 제조",6,4353,21200.0,26898.71,31762.45,26.88,49.82,8.25,4.3,9.03,10.69
88,039440,에스티아이,특수 목적용 기계 제조업,"Chemical 중앙공급시스템(C.C.S.S), 세정·식각시스템",6,2636,16650.0,21064.55,25908.22,26.51,55.6,18.32,14.59,16.44,33.49
89,228850,레이언스,의료용 기기 제조업,"TFT Detector, CMOS Detector, I/O Sensor",6,1916,11550.0,14579.85,14895.64,26.23,28.97,8.78,7.81,8.77,8.55
90,037560,LG헬로비전,텔레비전 방송업,"케이블TV, 인터넷서비스 등",6,3113,4020.0,5064.54,7951.33,25.98,97.79,2.44,-9.4,3.83,2.96
91,036930,주성엔지니어링,특수 목적용 기계 제조업,LP CVD,5,3778,7830.0,9800.01,13265.92,25.16,69.42,9.55,11.5,22.21,25.0
92,053300,한국정보인증,소프트웨어 개발 및 공급업,"공인인증서, PKI솔루션 등",6,1879,6030.0,7543.28,0.0,25.1,-100.0,9.62,8.65,10.19,7.67
93,010130,고려아연,1차 비철금속 제조업,"연,아연괴 제조,판매",6,70479,373500.0,464059.2,525849.51,24.25,40.79,8.74,9.76,8.64,10.96
94,061040,알에프텍,통신 및 방송 장비 제조업,"핸드폰 충전기, 핸즈프리",6,2862,11300.0,13919.27,0.0,23.18,-100.0,19.59,-1.42,5.51,3.19
95,084010,대한제강,1차 철강 제조업,"제강,철재,철근,환봉,마환봉,빌레트 제조",6,1585,6430.0,7909.4,8287.72,23.01,28.89,8.83,6.73,-3.83,6.86
96,095610,테스,특수 목적용 기계 제조업,반도체장비(화학증착장비),6,4428,22400.0,27520.63,30204.7,22.86,34.84,12.6,4.56,21.09,32.17
