,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,PER_EPS,PBR_BPS,Return_rate(PER),Return_rate(PBR),ROE_20,ROE_19,roe_past_2,roe_past_3
114,090350,노루페인트,기타 화학제품 제조업,페인트 제조,6,1474,7370.0,8196.66,9709.56,11.22,31.74,4.88,6.0,4.2,10.23
115,263700,케어랩스,소프트웨어 개발 및 공급업,"헬스케어 미디어플랫폼, 헬스케어 디지털마케팅, 헬스케어 솔루션",6,879,10450.0,11603.19,0.0,11.04,-100.0,7.39,0.96,8.54,28.27
116,003230,삼양식품,기타 식품 제조업,"라면,스낵,유제품,장유,식용유,사료,향신료,건강음료(루이보스 티) 제조,도매",6,9416,125000.0,138507.94,106346.47,10.81,-14.92,25.56,23.15,16.16,15.28
117,069510,에스텍,영상 및 음향기기 제조업,스피커 및 스피커시스템,6,984,9020.0,9976.45,13068.2,10.6,44.88,8.21,11.74,15.15,7.97
118,005850,에스엘,자동차 신품 부품 제조업,"자동차부품(자동차램프류,샤시와조향기기,케스터홀더) 제조",6,5736,11900.0,13103.49,16083.65,10.11,35.16,4.92,7.25,2.5,9.97
119,195870,해성디에스,전자부품 제조업,반도체 패키지용 Substrate,6,3128,18400.0,20072.92,15535.39,9.09,-15.57,16.19,9.06,11.05,14.02
120,095610,테스,특수 목적용 기계 제조업,반도체장비(화학증착장비),6,5189,26250.0,28161.49,30834.87,7.28,17.47,12.6,4.56,21.09,32.17
121,023890,한국아트라스비엑스,일차전지 및 축전지 제조업,축전지,6,4163,45500.0,48793.52,60613.11,7.24,33.22,12.75,15.6,17.32,17.6
122,067900,와이엔텍,폐기물 처리업,"사업장폐기물중간및최종처리,전문건설,골재제조",6,2275,12500.0,13394.64,8059.32,7.16,-35.53,17.35,14.66,8.06,11.3
123,039340,한국경제TV,텔레비전 방송업,"광고수입, 협찬수입",6,1286,5590.0,5987.37,5782.98,7.11,3.45,14.36,13.01,14.16,13.77
124,051900,LG생활건강,기타 화학제품 제조업,"화장품,생활용품 제조,도매",6,206629,1323000.0,1416741.33,1685697.01,7.09,27.41,17.95,20.32,20.98,21.94
125,069960,현대백화점,종합 소매업,백화점,6,13995,59800.0,63466.53,107777.09,6.13,80.23,3.49,4.64,5.91,6.63
126,103140,풍산,1차 비철금속 제조업,,5,6488,23150.0,24512.66,34898.73,5.89,50.75,3.02,1.28,4.62,11.86
127,243070,휴온스,의약품 제조업,"전문의약품, 일반의약품",6,5978,60500.0,63686.56,71939.98,5.27,18.91,20.92,21.36,31.64,32.39
128,049070,인탑스,통신 및 방송 장비 제조업,휴대전화기용부품,6,1944,11300.0,11870.53,12482.88,5.05,10.47,5.3,8.5,5.76,4.36
129,241710,코스메카코리아,기타 화학제품 제조업,"화장품 OEM, ODM",5,1388,13000.0,13517.47,22339.42,3.98,71.84,4.66,3.85,7.53,9.1
130,035720,카카오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷 서비스(인터넷 광고),6,285061,324500.0,335041.92,167649.6,3.25,-48.34,6.33,-5.81,1.04,2.91
