,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,S-RIM,매수금액,매도금액_1st,매도금액_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Return_rate(BPS&ROE),영업이익_20(E),영업이익_19,영업이익_18,영업이익_17,Multiple,영업이익_비율,매출액_20(E),매출액_19,매출액_18,매출액_17
824,103660,씨앗,기타 화학제품 제조업,"잉크리본, 인화지",1,144.0,3490.0,Ave ROE,2549.0,2364.0,1712.0,0.73,0.49,0.0,1.48,1.64,21.22,No,0.35,0.0,17.0,12.0,20.0,10,0.0,0.0,262.0,225.0,272.0
825,291230,삼성스팩2호,금융 지원 서비스업,기업인수합병,5,153.0,2030.0,Ave ROE,1477.0,1182.0,139.0,0.73,0.07,0.0,1.17,0.0,0.0,No,0.07,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
826,310870,한국제8호스팩,금융 지원 서비스업,기업인수 및 합병,5,69.0,2030.0,Ave ROE,1475.0,1176.0,118.0,0.73,0.06,0.0,0.99,0.0,0.0,No,0.06,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
827,313750,유안타제4호스팩,금융 지원 서비스업,기업인수합병,4,93.0,2010.0,Ave ROE,1460.0,1151.0,53.0,0.73,0.03,0.0,0.45,0.0,0.0,No,0.03,0.0,-1.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
828,317030,케이비17호스팩,금융 지원 서비스업,금융사업지원서비스,5,110.0,2010.0,Ave ROE,1474.0,1150.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,-1.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
829,330990,케이비제19호스팩,금융 지원 서비스업,금융지원서비스,5,86.0,2010.0,Ave ROE,1476.0,1151.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
830,333430,미래에셋대우스팩4호,금융 지원 서비스업,기업인수합병,5,90.0,2050.0,Ave ROE,1499.0,1169.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
831,337450,SK5호스팩,금융 지원 서비스업,기업인수합병,2,86.0,2005.0,Ave ROE,1472.0,1129.0,-83.0,0.73,-0.04,0.0,-0.68,0.0,0.0,No,-0.04,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
832,317400,자이에스앤디,부동산 임대 및 공급업,"부동산 관리, 정보통신 공사, 아파트 AS 및 옵션 제품 공급, 건축물 시공 및 분양",2,2595.0,9600.0,Ave ROE,6922.0,8057.0,12077.0,0.72,1.26,0.0,13.56,32.29,0.0,No,1.26,0.0,165.0,145.0,107.0,10,0.0,0.0,2779.0,2127.0,1423.0
833,100120,뷰웍스,의료용 기기 제조업,X-Ray Detector,5,2906.0,29200.0,S-RIM,21142.0,24205.0,35053.0,0.72,1.2,16.15,16.03,15.56,16.6,No,1.16,324.0,264.0,226.0,286.0,10,1.11,1630.0,1360.0,1314.0,1235.0
834,036090,위지트,특수 목적용 기계 제조업,LCD 반도체,5,1079.0,1200.0,Ave ROE,869.0,849.0,776.0,0.72,0.65,0.0,4.2,10.05,8.17,No,0.67,0.0,-11.0,49.0,42.0,15,0.0,0.0,317.0,448.0,392.0
835,016920,카스,기계장비 및 관련 물품 도매업,"전자저울,로드셀",1,639.0,2565.0,Ave ROE,1854.0,1803.0,1625.0,0.72,0.63,0.0,7.11,6.59,5.44,Yes,0.69,0.0,37.0,75.0,67.0,10,0.0,0.0,1358.0,1400.0,1394.0
836,012610,경인양행,기초 화학물질 제조업,"반응성염료,직접염료,산성염료,삼원색원료 제조,수출입",5,2856.0,6920.0,Ave ROE,4990.0,4751.0,3904.0,0.72,0.56,0.0,6.57,6.59,1.85,No,0.57,0.0,236.0,197.0,74.0,10,0.0,0.0,3588.0,3311.0,3000.0
837,035200,프럼파스트,플라스틱제품 제조업,주택건설용 플라스틱 배관,5,526.0,5270.0,Ave ROE,3812.0,3607.0,2882.0,0.72,0.55,0.0,3.34,4.7,13.9,No,0.51,0.0,15.0,25.0,59.0,10,0.0,0.0,294.0,327.0,488.0
838,065350,신성델타테크,가정용 기기 제조업,"세탁기, 자동차, 에어컨 및 LCD 부품",1,1665.0,6290.0,Ave ROE,4501.0,4245.0,3337.0,0.72,0.53,0.0,4.79,3.43,11.32,No,0.59,0.0,117.0,130.0,182.0,10,0.0,0.0,4537.0,4371.0,4648.0
839,329560,상상인이안제2호스팩,금융 지원 서비스업,기업인수합병,5,77.0,1995.0,Ave ROE,1428.0,1113.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,-2.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
840,331380,유진스팩5호,금융 지원 서비스업,합병,5,80.0,2000.0,Ave ROE,1448.0,1129.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
841,331520,교보9호스팩,금융 지원 서비스업,기업인수합병,5,78.0,2015.0,Ave ROE,1456.0,1136.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,-1.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
842,336570,대신밸런스제8호스팩,금융 지원 서비스업,기업 인수 및 합병,5,113.0,2020.0,Ave ROE,1463.0,1141.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
843,339950,엔에이치스팩15,금융 지원 서비스업,기타 금융지원(SPAC),1,659.0,1535.0,Ave ROE,1090.0,1617.0,3483.0,0.71,2.27,0.0,51.13,106.81,53.56,No,2.22,0.0,73.0,59.0,17.0,10,0.0,0.0,547.0,396.0,255.0
844,030520,한글과컴퓨터,소프트웨어 개발 및 공급업,오피스소프트웨어,4,4424.0,17700.0,S-RIM,12595.0,14487.0,21188.0,0.71,1.2,16.53,8.87,3.39,11.74,No,0.55,835.0,332.0,424.0,290.0,10,1.89,4229.0,3193.0,2129.0,1212.0
845,108320,실리콘웍스,반도체 제조업,"LDI, T-Con, PMIC, EPD-IC 등",5,8165.0,49500.0,S-RIM,35358.0,40131.0,57033.0,0.71,1.15,15.46,8.39,11.4,11.87,No,0.74,935.0,473.0,558.0,455.0,10,1.15,10677.0,8671.0,7918.0,6928.0
846,095340,ISC,전자부품 제조업,반도체테스트소켓,5,2645.0,19300.0,S-RIM,13648.0,14725.0,18540.0,0.71,0.96,11.94,2.57,8.13,11.1,No,0.47,266.0,20.0,123.0,230.0,15,1.51,1217.0,877.0,1019.0,1126.0
847,005930,삼성전자,통신 및 방송 장비 제조업,"IMT2000 서비스용 동기식 기지국,교환국장비,데이터단말기,동영상휴대폰,핵심칩,반도체제품,사무,계산 및 회계용기계",5,3856480.0,64700.0,S-RIM,45863.0,48249.0,56700.0,0.71,0.88,10.45,8.69,19.63,21.01,No,1.06,371419.0,277685.0,588867.0,536450.0,15,1.44,2386468.0,2304009.0,2437714.0,2395754.0
848,007310,오뚜기,기타 식품 제조업,"라면,마요네즈,카레,스프,당면,소오스,토마토케첩,마가린,냉동생지(바게트,크로와상),참치캔,식초,3분짜장 제조",5,20269.0,554000.0,S-RIM,391923.0,408962.0,469303.0,0.71,0.85,10.0,7.79,13.87,12.34,No,1.0,1939.0,1483.0,1517.0,1461.0,10,0.96,25741.0,23597.0,22468.0,21262.0
849,263020,디케이앤디,플라스틱제품 제조업,합성피혁 및 부직포,5,701.0,9160.0,Ave ROE,6547.0,6355.0,5675.0,0.71,0.62,0.0,5.68,8.78,4.8,No,0.6,0.0,30.0,37.0,38.0,10,0.0,0.0,598.0,548.0,521.0
850,033130,디지틀조선,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",위성서비스,5,1032.0,2740.0,Ave ROE,1958.0,1873.0,1575.0,0.71,0.57,0.0,4.54,7.24,7.85,No,0.58,0.0,29.0,64.0,54.0,10,0.0,0.0,338.0,397.0,395.0
