,Code,Name,Industry,Main_product,시가총액_억,Ratio,영업활동&현금_202006,영업활동&현금_201912,영업활동&현금_201812,영업활동&현금_201712
7810,286750,나노브릭,기초 화학물질 제조업,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)",1003,-0.0,-2.0,0.0,0.0,0.0
7811,286940,롯데정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",5112,0.0,0.0,0.0,0.0,-102.0
7812,286940,롯데정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",5112,0.0,0.0,0.0,1073.0,0.0
7813,286940,롯데정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",5112,0.0,0.0,1174.0,0.0,0.0
7814,287410,유안타제3호스팩,금융 지원 서비스업,인수합병,88,0.0,0.0,0.0,-1.0,0.0
7815,287410,유안타제3호스팩,금융 지원 서비스업,인수합병,88,0.0,0.0,0.0,0.0,0.0
7816,288330,브릿지바이오,기초 의약물질 및 생물학적 제제 제조업,"펠리노-1 단백질 저해제, 오토택신 저해제",862,0.0,0.0,0.0,-144.0,0.0
7817,288330,브릿지바이오,기초 의약물질 및 생물학적 제제 제조업,"펠리노-1 단백질 저해제, 오토택신 저해제",862,0.0,0.0,0.0,0.0,-78.0
7818,288330,브릿지바이오,기초 의약물질 및 생물학적 제제 제조업,"펠리노-1 단백질 저해제, 오토택신 저해제",862,0.0,0.0,-77.0,0.0,0.0
7819,288490,나라소프트,소프트웨어 개발 및 공급업,"체육용솔루션(NS트루골프, NS테니스, NS축구, NS승마 등)",117,0.0,0.0,-12.0,0.0,0.0
7820,288490,나라소프트,소프트웨어 개발 및 공급업,"체육용솔루션(NS트루골프, NS테니스, NS축구, NS승마 등)",117,0.0,0.0,0.0,8.0,0.0
7821,288620,에스퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건물용 연료전지, 발전용 연료전지",2028,0.0,0.0,-197.0,0.0,0.0
7822,288620,에스퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건물용 연료전지, 발전용 연료전지",2028,0.0,0.0,0.0,0.0,-13.0
7823,288620,에스퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건물용 연료전지, 발전용 연료전지",2028,0.0,0.0,0.0,19.0,0.0
7824,289010,아이스크림에듀,"서적, 잡지 및 기타 인쇄물 출판업",아이스크림홈런,1029,0.0,0.0,0.0,76.0,0.0
7825,289010,아이스크림에듀,"서적, 잡지 및 기타 인쇄물 출판업",아이스크림홈런,1029,0.0,0.0,85.0,0.0,0.0
7826,290120,대유에이피,자동차 신품 부품 제조업,자동차 스티어링휠,694,0.0,0.0,-48.0,0.0,0.0
7827,290120,대유에이피,자동차 신품 부품 제조업,자동차 스티어링휠,694,0.0,0.0,0.0,0.0,46.0
7828,290120,대유에이피,자동차 신품 부품 제조업,자동차 스티어링휠,694,0.0,0.0,0.0,158.0,0.0
7829,290270,휴네시온,소프트웨어 개발 및 공급업,망간자료전송(i-oneNet),481,0.0,0.0,0.0,16.0,0.0
7830,290270,휴네시온,소프트웨어 개발 및 공급업,망간자료전송(i-oneNet),481,0.0,0.0,0.0,0.0,20.0
7831,290270,휴네시온,소프트웨어 개발 및 공급업,망간자료전송(i-oneNet),481,0.0,0.0,30.0,0.0,0.0
7832,290380,대유,"비료, 농약 및 살균, 살충제 제조업","4종복합비료, 농약",1100,0.0,0.0,0.0,43.0,0.0
7833,290380,대유,"비료, 농약 및 살균, 살충제 제조업","4종복합비료, 농약",1100,0.0,0.0,60.0,0.0,0.0
7834,290380,대유,"비료, 농약 및 살균, 살충제 제조업","4종복합비료, 농약",1100,0.0,0.0,0.0,0.0,70.0
7835,290510,코리아센터,소프트웨어 개발 및 공급업,이커머스토탈솔루션,4476,0.0,0.0,0.0,-50.0,0.0
7836,290510,코리아센터,소프트웨어 개발 및 공급업,이커머스토탈솔루션,4476,0.0,0.0,0.0,0.0,16.0
7837,290510,코리아센터,소프트웨어 개발 및 공급업,이커머스토탈솔루션,4476,0.0,0.0,255.0,0.0,0.0
7838,290520,신도기연,특수 목적용 기계 제조업,"OLED용 후공정장비(라미네이터, 오토클레이브 등)",1786,0.0,0.0,0.0,9.0,0.0
7839,290520,신도기연,특수 목적용 기계 제조업,"OLED용 후공정장비(라미네이터, 오토클레이브 등)",1786,0.0,0.0,0.0,0.0,105.0
7840,290520,신도기연,특수 목적용 기계 제조업,"OLED용 후공정장비(라미네이터, 오토클레이브 등)",1786,0.0,0.0,149.0,0.0,0.0
7841,290550,디케이티,전자부품 제조업,스마트폰용 FPCA,1506,0.0,0.0,0.0,3.0,0.0
7842,290550,디케이티,전자부품 제조업,스마트폰용 FPCA,1506,0.0,0.0,96.0,0.0,0.0
7843,290550,디케이티,전자부품 제조업,스마트폰용 FPCA,1506,0.0,0.0,0.0,0.0,173.0
7844,290650,엘앤씨바이오,의약품 제조업,"인체조직(피부, 뼈, 연골)",9699,0.0,0.0,0.0,38.0,0.0
7845,290650,엘앤씨바이오,의약품 제조업,"인체조직(피부, 뼈, 연골)",9699,0.0,0.0,64.0,0.0,0.0
7846,290660,네오펙트,의료용 기기 제조업,라파엘스마트글러브 외,465,0.0,0.0,-139.0,0.0,0.0
7847,290660,네오펙트,의료용 기기 제조업,라파엘스마트글러브 외,465,0.0,0.0,0.0,-82.0,0.0
7848,290660,네오펙트,의료용 기기 제조업,라파엘스마트글러브 외,465,0.0,0.0,0.0,0.0,-72.0
7849,290670,대보마그네틱,기타 전기장비 제조업,"전자석탈철기, 자력선별기",2126,0.0,0.0,17.0,0.0,0.0
7850,290670,대보마그네틱,기타 전기장비 제조업,"전자석탈철기, 자력선별기",2126,0.0,0.0,0.0,34.0,0.0
7851,290670,대보마그네틱,기타 전기장비 제조업,"전자석탈철기, 자력선별기",2126,0.0,0.0,0.0,0.0,38.0
7852,290720,푸드나무,무점포 소매업,,1514,0.0,0.0,30.0,0.0,0.0
7853,290720,푸드나무,무점포 소매업,,1514,0.0,0.0,0.0,46.0,0.0
7854,290740,액트로,전자부품 제조업,모바일용 액츄에이터 및 조립자동화 설비,1072,0.0,0.0,0.0,178.0,0.0
7855,290740,액트로,전자부품 제조업,모바일용 액츄에이터 및 조립자동화 설비,1072,0.0,0.0,229.0,0.0,0.0
7856,290740,액트로,전자부품 제조업,모바일용 액츄에이터 및 조립자동화 설비,1072,0.0,0.0,0.0,0.0,234.0
7857,291210,한국제7호스팩,금융 지원 서비스업,기업인수합병,101,0.0,0.0,0.0,0.0,0.0
7858,291230,삼성스팩2호,금융 지원 서비스업,기업인수합병,152,0.0,0.0,0.0,0.0,0.0
7859,291230,삼성스팩2호,금융 지원 서비스업,기업인수합병,152,0.0,0.0,2.0,0.0,0.0
7860,293480,하나제약,의약품 제조업,완제의약품,3742,0.0,0.0,0.0,0.0,254.0
7861,293480,하나제약,의약품 제조업,완제의약품,3742,0.0,0.0,0.0,276.0,0.0
7862,293480,하나제약,의약품 제조업,완제의약품,3742,0.0,0.0,317.0,0.0,0.0
7863,293580,나우IB,기타 금융업,"투자조합, PEF 결성 및 투자",572,0.0,0.0,0.0,-24.0,0.0
7864,293580,나우IB,기타 금융업,"투자조합, PEF 결성 및 투자",572,0.0,0.0,0.0,0.0,-20.0
7865,293580,나우IB,기타 금융업,"투자조합, PEF 결성 및 투자",572,0.0,0.0,57.0,0.0,0.0
7866,293780,압타바이오,자연과학 및 공학 연구개발업,"용역매출(50.7%), 유전자전달체(32.7%), 압타머 연구용 시약(16.6%)",2974,0.0,0.0,-60.0,0.0,0.0
7867,293780,압타바이오,자연과학 및 공학 연구개발업,"용역매출(50.7%), 유전자전달체(32.7%), 압타머 연구용 시약(16.6%)",2974,0.0,0.0,0.0,0.0,-18.0
7868,293780,압타바이오,자연과학 및 공학 연구개발업,"용역매출(50.7%), 유전자전달체(32.7%), 압타머 연구용 시약(16.6%)",2974,0.0,0.0,0.0,-17.0,0.0
7869,294140,레몬,화학섬유 제조업,"EMI Shield Can, 나노멤브레인 등",4709,0.0,0.0,-110.0,0.0,0.0
7870,294140,레몬,화학섬유 제조업,"EMI Shield Can, 나노멤브레인 등",4709,0.0,0.0,0.0,24.0,0.0
7871,294140,레몬,화학섬유 제조업,"EMI Shield Can, 나노멤브레인 등",4709,0.0,0.0,0.0,0.0,48.0
7872,294630,서남,기타 전기장비 제조업,고온초전도선재,605,0.0,0.0,-28.0,0.0,0.0
7873,294630,서남,기타 전기장비 제조업,고온초전도선재,605,0.0,0.0,0.0,-25.0,0.0
7874,294630,서남,기타 전기장비 제조업,고온초전도선재,605,0.0,0.0,0.0,0.0,-17.0
7875,294870,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",13610,0.0,0.0,-1200.0,0.0,0.0
7876,294870,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",13610,0.0,0.0,0.0,0.0,0.0
7877,294870,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",13610,0.0,0.0,0.0,4546.0,0.0
7878,297090,씨에스베어링,일반 목적용 기계 제조업,"풍력용 선회베어링, 산업용 선회베어링",2778,0.0,0.0,0.0,23.0,0.0
7879,297090,씨에스베어링,일반 목적용 기계 제조업,"풍력용 선회베어링, 산업용 선회베어링",2778,0.0,0.0,0.0,0.0,65.0
7880,297090,씨에스베어링,일반 목적용 기계 제조업,"풍력용 선회베어링, 산업용 선회베어링",2778,0.0,0.0,85.0,0.0,0.0
7881,297570,알로이스,통신 및 방송 장비 제조업,안드로이드 OTT 멀티미디어 디바이스,399,0.0,0.0,0.0,-27.0,0.0
7882,297570,알로이스,통신 및 방송 장비 제조업,안드로이드 OTT 멀티미디어 디바이스,399,0.0,0.0,-11.0,0.0,0.0
7883,297890,엘이티,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",1148,0.0,0.0,102.0,0.0,0.0
7884,297890,엘이티,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",1148,0.0,0.0,0.0,106.0,0.0
7885,297890,엘이티,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",1148,0.0,0.0,0.0,0.0,110.0
7886,298000,효성화학,기초 화학물질 제조업,-,3892,0.0,0.0,0.0,0.0,0.0
7887,298000,효성화학,기초 화학물질 제조업,-,3892,0.0,0.0,0.0,768.0,0.0
7888,298000,효성화학,기초 화학물질 제조업,-,3892,0.0,0.0,1632.0,0.0,0.0
7889,298020,효성티앤씨,화학섬유 제조업,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등",5193,0.0,0.0,0.0,0.0,0.0
7890,298020,효성티앤씨,화학섬유 제조업,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등",5193,0.0,0.0,0.0,1157.0,0.0
7891,298020,효성티앤씨,화학섬유 제조업,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등",5193,0.0,0.0,3495.0,0.0,0.0
7892,298040,효성중공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-,5129,0.0,0.0,0.0,0.0,0.0
7893,298040,효성중공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-,5129,0.0,0.0,0.0,26.0,0.0
7894,298040,효성중공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-,5129,0.0,0.0,752.0,0.0,0.0
7895,298050,효성첨단소재,화학섬유 제조업,PET타이어코드,5869,0.0,0.0,0.0,0.0,0.0
7896,298050,효성첨단소재,화학섬유 제조업,PET타이어코드,5869,0.0,0.0,0.0,910.0,0.0
7897,298050,효성첨단소재,화학섬유 제조업,PET타이어코드,5869,0.0,0.0,1270.0,0.0,0.0
7898,298060,에스씨엠생명과학,의약품 제조업,세포치료제,3190,0.0,0.0,-84.0,0.0,0.0
7899,298060,에스씨엠생명과학,의약품 제조업,세포치료제,3190,0.0,0.0,0.0,-66.0,0.0
7900,298060,에스씨엠생명과학,의약품 제조업,세포치료제,3190,0.0,0.0,0.0,0.0,-50.0
7901,298380,에이비엘바이오,기초 의약물질 및 생물학적 제제 제조업,항체의약품 연구개발,13758,0.0,0.0,-239.0,0.0,0.0
7902,298380,에이비엘바이오,기초 의약물질 및 생물학적 제제 제조업,항체의약품 연구개발,13758,0.0,0.0,0.0,-127.0,0.0
7903,298380,에이비엘바이오,기초 의약물질 및 생물학적 제제 제조업,항체의약품 연구개발,13758,0.0,0.0,0.0,0.0,-71.0
7904,298540,더네이쳐홀딩스,"섬유, 의복, 신발 및 가죽제품 소매업","의류, 여행용 가방 및 잡화류",2548,0.0,0.0,0.0,0.0,0.0
7905,298540,더네이쳐홀딩스,"섬유, 의복, 신발 및 가죽제품 소매업","의류, 여행용 가방 및 잡화류",2548,0.0,0.0,0.0,0.0,39.0
7906,298540,더네이쳐홀딩스,"섬유, 의복, 신발 및 가죽제품 소매업","의류, 여행용 가방 및 잡화류",2548,0.0,0.0,82.0,0.0,0.0
7907,298540,더네이쳐홀딩스,"섬유, 의복, 신발 및 가죽제품 소매업","의류, 여행용 가방 및 잡화류",2548,0.0,0.0,0.0,222.0,0.0
7908,298690,에어부산,항공 여객 운송업,항공 여객 및 화물 운송,1796,0.0,0.0,0.0,250.0,0.0
