,code,year,매출액,영업이익,당기순이익,ROE,EPS
379,002220,2018/12,1686.0,-21.0,-82.0,-4.66,-334.0
380,002220,2019/12,1730.0,-73.0,-109.0,-6.98,-478.0
381,002220,2020/12(E),0.0,0.0,0.0,0.0,0.0
382,006390,2016/12,3789.0,534.0,-1500.0,-172.43,-13442.0
383,006390,2017/12,3487.0,249.0,615.0,34.91,3670.0
384,006390,2018/12,3396.0,205.0,-294.0,-15.22,-1752.0
385,006390,2019/12,3841.0,352.0,413.0,21.69,2458.0
386,006390,2020/12(E),0.0,0.0,0.0,0.0,0.0
387,009460,2016/12,1945.0,142.0,161.0,31.84,270.0
388,009460,2017/12,2009.0,175.0,118.0,18.34,198.0
389,009460,2018/12,2000.0,117.0,96.0,13.07,161.0
390,009460,2019/12,1814.0,109.0,74.0,9.05,124.0
391,009460,2020/12(E),0.0,0.0,0.0,0.0,0.0
392,088350,2016/12,,5210.0,8451.0,9.26,916.0
393,088350,2017/12,,9534.0,6887.0,6.54,673.0
394,088350,2018/12,,6502.0,4465.0,4.22,478.0
395,088350,2019/12,,494.0,587.0,0.87,116.0
396,088350,2020/12(E),,0.0,3490.0,2.78,375.0
397,272210,2016/12,8605.0,249.0,245.0,6.18,453.0
398,272210,2017/12,8586.0,309.0,141.0,3.91,261.0
399,272210,2018/12,11289.0,448.0,412.0,7.25,556.0
400,272210,2019/12,15460.0,858.0,729.0,8.15,706.0
401,272210,2020/12(E),16337.0,885.0,645.0,6.56,584.0
402,000720,2016/12,188250.0,11590.0,7317.0,9.5,5133.0
403,000720,2017/12,168871.0,9861.0,3716.0,3.15,1810.0
404,000720,2018/12,167309.0,8400.0,5353.0,5.99,3424.0
405,000720,2019/12,172788.0,8597.0,5733.0,6.3,3656.0
406,000720,2020/12(E),173660.0,7376.0,5591.0,5.86,3597.0
407,267270,2016/12,0.0,0.0,0.0,0.0,0.0
408,267270,2017/12,18867.0,952.0,466.0,0.0,3122.0
409,267270,2018/12,32339.0,2087.0,1411.0,7.47,4565.0
410,267270,2019/12,28521.0,1578.0,509.0,0.26,164.0
411,267270,2020/12(E),24749.0,975.0,469.0,2.27,1414.0
412,012330,2016/12,382617.0,29047.0,30473.0,11.23,31205.0
413,012330,2017/12,351446.0,20249.0,15577.0,5.43,16109.0
414,012330,2018/12,351492.0,20250.0,18882.0,6.3,19403.0
415,012330,2019/12,380488.0,23593.0,22943.0,7.28,23867.0
416,012330,2020/12(E),357025.0,16426.0,17243.0,5.22,18118.0
417,004560,2016/12,6608.0,363.0,219.0,6.51,1440.0
418,004560,2017/12,7259.0,307.0,198.0,5.55,1301.0
419,004560,2018/12,7127.0,350.0,194.0,5.2,1280.0
420,004560,2019/12,7333.0,365.0,218.0,5.55,1434.0
421,004560,2020/12(E),0.0,0.0,0.0,0.0,0.0
422,017800,2016/12,17588.0,1816.0,1169.0,18.13,3483.0
423,017800,2017/12,19937.0,1353.0,790.0,11.59,2534.0
424,017800,2018/12,18772.0,1431.0,15.0,0.9,195.0
425,017800,2019/12,18725.0,1362.0,436.0,5.22,1189.0
