,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,S-RIM,매수금액,매도금액_1st,매도금액_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Return_rate(BPS&ROE),영업이익_20(E),영업이익_19,영업이익_18,영업이익_17,Multiple,영업이익_비율,매출액_20(E),매출액_19,매출액_18,매출액_17
587,116100,태양기계,자동차 신품 부품 제조업,엔진부품,1,41.0,737.0,Ave ROE,849.0,24.0,-2914.0,1.15,-3.95,0.0,4.38,0.57,-84.68,Yes,-3.94,0.0,4.0,10.0,8.0,10,0.0,0.0,222.0,217.0,244.0
588,049960,쎌바이오텍,기초 의약물질 및 생물학적 제제 제조업,유산균 원말 및 완제품,5,1387.0,14950.0,Ave ROE,17063.0,18888.0,25389.0,1.14,1.7,0.0,6.91,19.8,20.88,No,1.5,0.0,58.0,217.0,226.0,10,0.0,0.0,460.0,625.0,611.0
589,045060,오공,기타 화학제품 제조업,"접착제,씰란트,광택제,연마제",5,754.0,4385.0,Ave ROE,5003.0,5216.0,5971.0,1.14,1.36,0.0,9.79,9.59,10.7,No,1.36,0.0,89.0,75.0,89.0,10,0.0,0.0,1519.0,1507.0,1496.0
590,003800,에이스침대,가구 제조업,침대,5,4491.0,40750.0,Ave ROE,46632.0,47338.0,49853.0,1.14,1.22,0.0,9.82,7.36,6.94,Yes,1.14,0.0,499.0,403.0,314.0,10,0.0,0.0,2774.0,2450.0,2061.0
591,037440,희림,"건축기술, 엔지니어링 및 관련 기술 서비스업",설계 및 감리용역,1,508.0,3645.0,Ave ROE,4158.0,4110.0,3939.0,1.14,1.08,0.0,7.01,7.66,7.37,No,1.15,0.0,72.0,68.0,87.0,10,0.0,0.0,1786.0,1695.0,1595.0
592,054540,삼영엠텍,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 특수장치, 교량부품",5,666.0,5150.0,Ave ROE,5884.0,5220.0,2858.0,1.14,0.55,0.0,4.57,1.87,2.36,No,0.5,0.0,31.0,8.0,5.0,10,0.0,0.0,698.0,691.0,635.0
593,042600,새로닉스,전자부품 제조업,"광학시트, FFC",5,646.0,4925.0,Ave ROE,5602.0,4885.0,2334.0,1.14,0.47,0.0,-2.43,9.9,4.19,No,0.47,0.0,1.0,44.0,2.0,10,0.0,0.0,1638.0,1421.0,1262.0
594,081150,티플랙스,기타 금속 가공제품 제조업,"스텐레스봉,판(열간제품) 제조,도매",5,723.0,3015.0,Ave ROE,3441.0,2989.0,1381.0,1.14,0.46,0.0,2.44,2.54,3.62,No,0.46,0.0,39.0,35.0,38.0,10,0.0,0.0,1312.0,1217.0,1177.0
595,010280,쌍용정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합(SI),네트워크 설계 및 구축,시스템운영(SM)",3,469.0,1170.0,Ave ROE,1324.0,1497.0,2114.0,1.13,1.81,0.0,2.96,50.09,-18.59,No,1.81,0.0,5.0,29.0,-67.0,10,0.0,0.0,1083.0,1233.0,1461.0
596,147830,제룡산업,"구조용 금속제품, 탱크 및 증기발생기 제조업",송배전 금구류 및 합성수지 제품,5,483.0,4930.0,Ave ROE,5557.0,5463.0,5128.0,1.13,1.04,0.0,4.54,5.96,16.76,No,1.04,0.0,15.0,31.0,30.0,10,0.0,0.0,271.0,320.0,343.0
